VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,1/1/2019 0:18,1/1/2019 0:30,2,3.3,1,N,263,107,1,11.5,0.5,0.5,2.55,0,0.3,15.35,
1,1/1/2019 0:35,1/1/2019 0:58,1,4.1,1,N,79,263,2,17,0.5,0.5,0,0,0.3,18.3,
2,1/1/2019 0:11,1/1/2019 0:16,3,0.69,1,N,140,229,2,5.5,0.5,0.5,0,0,0.3,6.8,
2,1/1/2019 0:19,1/1/2019 0:27,3,1.92,1,N,229,236,1,8.5,0.5,0.5,1.96,0,0.3,11.76,
2,1/1/2019 0:30,1/1/2019 0:42,3,2.43,1,N,43,151,1,11,0.5,0.5,2.46,0,0.3,14.76,
2,1/1/2019 0:44,1/1/2019 0:51,3,0.83,1,N,151,238,1,6.5,0.5,0.5,0.78,0,0.3,8.58,
2,1/1/2019 0:54,1/1/2019 1:11,3,2.66,1,N,238,161,1,13,0.5,0.5,2.5,0,0.3,16.8,
2,12/31/2018 17:22,1/1/2019 16:57,1,22.59,1,N,132,181,1,60,0.5,0.5,7,0,0.3,68.3,
1,1/1/2019 0:32,1/1/2019 0:43,1,0.2,1,Y,186,186,2,8,0.5,0.5,0,0,0.3,9.3,
1,1/1/2019 0:19,1/1/2019 0:28,1,1.2,1,N,68,79,1,7.5,0.5,0.5,1,0,0.3,9.8,
1,1/1/2019 0:39,1/1/2019 1:14,1,5,1,N,79,143,1,22.5,0.5,0.5,4.75,0,0.3,28.55,
2,1/1/2019 0:23,1/1/2019 0:31,1,1.68,1,N,236,238,1,8,0.5,0.5,1.86,0,0.3,11.16,
2,1/1/2019 0:33,1/1/2019 0:37,1,0.65,1,N,238,239,2,4.5,0.5,0.5,0,0,0.3,5.8,
2,1/1/2019 0:40,1/1/2019 1:03,1,5.15,1,N,239,145,1,19,0.5,0.5,5.08,0,0.3,25.38,
1,1/1/2019 0:19,1/1/2019 0:40,2,0.6,1,N,161,170,1,13,0.5,0.5,25,0,0.3,39.3,
1,1/1/2019 0:37,1/1/2019 0:54,2,1.3,1,N,249,107,1,11.5,0.5,0.5,3.8,0,0.3,16.6,
1,1/1/2019 0:56,1/1/2019 1:08,2,1.7,1,N,107,229,1,9.5,0.5,0.5,1,0,0.3,11.8,
2,1/1/2019 0:38,1/1/2019 1:01,1,6.91,1,N,170,42,2,21.5,0.5,0.5,0,0,0.3,22.8,
2,1/1/2019 0:22,1/1/2019 0:40,5,5.08,1,N,158,238,1,18,0.5,0.5,4.82,0,0.3,24.12,
2,1/1/2019 0:44,1/1/2019 0:57,5,2.11,1,N,239,236,1,11,0.5,0.5,1.7,0,0.3,14,
1,1/1/2019 0:14,1/1/2019 0:42,2,5.3,1,N,50,148,1,21.5,0.5,0.5,4.55,0,0.3,27.35,
1,1/1/2019 0:46,1/1/2019 0:57,3,1.7,1,N,148,107,1,9,0.5,0.5,2.05,0,0.3,12.35,
1,1/1/2019 0:58,1/1/2019 1:20,3,3.6,1,N,107,262,1,15.5,0.5,0.5,3.35,0,0.3,20.15,
